column 1,column 2,column 3,column 4,column 5,column 6,column 7,column 8,column 9,column 10,column 11
3378843,@nypost Scared companies are losing my support by the day.,stay at home orders,AGAINST,0,,,,,,
1718508,"Truly can see ignorance is bliss, when a Florida woman says I shouldn't wear a mask and to not fear the virus because she doesn't. I don't fear getting the virus but have respect for others and refuse encourage this ignorance.",face masks,FAVOR,1,,,,,,
249884,"@DanBeucke @margotroosevelt Do you not realize we HAVE to or slip into poverty? Seriously, we can’t continue not working! Take your precautions, wear your masks, and open America back up or many of us will be on the street!",stay at home orders,AGAINST,1,,,,,,
3636132,"@RealJamesWoods He got pneumonia. Which is still a real, actual disease that kills people. But we've never shut the country down to stop pneumonia.",stay at home orders,AGAINST,1,,,,,,
1279191,@RealJamesWoods I don’t and will not wear masks!!,face masks,AGAINST,0,,,,,,
2563453,@Prem_S I also wonder if the sudden decision to mandate masks in the middle of summer is to suppress people’s immune systems to ensure a fall/winter spike? :imp:,face masks,AGAINST,1,,,,,,
1171603092,New title Maskhole. I think I'm going to use this very soon. #coronavirus,face masks,NONE,0,,,,,,
1210674,Schools need to reopen in some form here in the fall. If for no other reason than for many of our students we are the most responsible and dependable adults they will see all day.,school closures,AGAINST,1,,,,,,
604026,Am I the only one that heard during #taskforcebriefing that schools could hold outdoor classes?  This would never work in Indiana where I live.  Below freezing temperatures would not be ideal learning conditions.  #TrumpVirusCatastrophe,school closures,NONE,0,,,,,,
1761270,"Asked him directly to properly wear his mask and he declined. Said NO. So, he prefers to spread #COVID19 rather than prevent the spread. What kind of horrible company are you? I'm outraged. He said NO. Fire him! @Sunrun #Sunrun",face masks,FAVOR,0,,,,,,
1250901,@Liz_Cheney #NoMasks needed by real men... we have NO fear... your lies ain't working...,stay at home orders,AGAINST,0,,,,,,
2634693673,"Just a quick update to my U.S. followers, I'll be making a stop in all 50 states this spring!  No tickets needed, just don't wash your hands, cough on each other, etc!  #COVID19 #coronavirus #CoronavirusOutbreak",school closures,NONE,0,,,,,,
1068855,Schools need to open. It can be done safely. My children deserve to go to school. They WANT to go to school. @GavinNewsom,school closures,AGAINST,0,,,,,,
3681972,"The Pharma Executives testifying about the vaccine live = They have said that they are concerned about sending children back, even after the vax, because we don't know the Pediatric implications yet. - BIG PHARMA IS WORRIED. Let that sink in for a sec. #COVID19",school closures,FAVOR,1,,,,,,
2149970091,"@si_ncaafb Though it’s ridiculous to only play conference games as it doesn’t solve anything, I rather have that than no College Football at all. #PlayTheGames",stay at home orders,NONE,0,,,,,,
440839851,:notes::arrow_forward:Basketball lover @tiran_music    On #trendmuzikblast @Djitchyfingazz #spinning:repeat_one: LISTENLIVEON #OURAPPONPLAYSTORE AND #WEBSITEONBIO,stay at home orders,NONE,0,,,,,,
3683094,@JohnFugelsang He's so spot on. I'm so deeply sorry for the family.  My deepest condolences. No one is wearing a mask here in Georgia.  Gas station me and the guy behind the counter.  15 others no mask.,face masks,FAVOR,0,,,,,,
968955,@ksdknews Oh they’re going back to school! My kids are not capable of homeschooling for more than a few weeks as their grades were LOWER than normal. All this talk about teachers “risking their lives” is absurd...,stay at home orders,AGAINST,1,,,,,,
3167008,"@chico14436924 Dems are crazy and the people that vote for them are insane. If any political party let mobs burn down my neighborhood and endangered my family, I would never vote for them again. And guess what?This is way I will not be voting for a Dem ag",face masks,NONE,1,,,,,,
2997185,"My husband is going to be famous. :grin: He was recorded by one the local sheep of the world for not wearing a mask and killing everyone. MAN, he is one good serial killer, I never even knew.  #Stupidity #Sheep",face masks,AGAINST,0,,,,,,
263670,Cuny isn’t closing schools but telling students to wash their hands that’s how they are gonna prevent corona virus  :woman_facepalming_light_skin_tone::woman_facepalming_light_skin_tone::woman_facepalming_light_skin_tone:,school closures,FAVOR,1,,,,,,
1441771,@GavinNewsom So is the flu and pneumonia what are their #’s stop the #MediaManipulation #covid19 has treatments. You’re @SpeakerPelosi nephew so stop the #agenda LIES!!!,stay at home orders,AGAINST,1,,,,,,
2218648183,:notes::arrow_forward:Somebody @Skiibii @iamkissdaniel  On #TRENDVILLA @fomaliciousbabe @Akpos_carrytalk @Djitchyfingazz #spinning:repeat_one: LISTENLIVEON #OURAPPONPLAYSTORE AND #WEBSITEONBIO,stay at home orders,NONE,0,,,,,,
2042501,FUCK LOCKDOWN! #EndTheNightmare #COVID19,stay at home orders,AGAINST,0,,,,,,
1128130,"@TDEM @GovAbbott The reporting is so messed up, NO ONE knows the REAL numbers! What is a fact is that treatment is working and we need to",stay at home orders,AGAINST,1,,,,,,
898498,@Theresa_Chapple NO TO REOPEN SCHOOLS.,school closures,FAVOR,0,,,,,,
1096785,So. What are we MISSING while Donald &amp, betsy promote reopening schools?  Tax returns? Rigged 2016? Rigged 2020? The siphoning off of USA $$$ to Russia &amp, China?   MARY TRUMPS BOOK?   Donalds escape hatch getting readied?,school closures,FAVOR,1,,,,
2741306685,"@GKeile If you won $7.28 million in the lottery and you had to give back $4,878 would you feel like you had to file for bankruptcy?  Me neither!",stay at home orders,NONE,0,,,,,,
980472907,@japantimes @mrjamesob Japan upping their game. But let's all argue about wearing a mask.,face masks,NONE,0,,,,,,
3683933370,"Most Americans feel like a child yelling at their parents, please stop arguing with each other and work together! #BarrHearing #America #COVID19 #masks",face masks,NONE,0,,,,,,
10173,@donwinslow @MeidasTouch So #TrumpKillsAmericans says Abortion is bad because it kills a child... But sending them to school during #COVID19 is OK??  #SMH #TrumpDoesntCare,school closures,FAVOR,1,,,,,,
571725,Global pandemic.  Democrats.  “Quick put a old t-shirt over your face. That will save you!” #COVIDIOTS #COVIDー19,face masks,AGAINST,0,,,,,,
1149195,Go to a restaurant: no mask   Do a food shop: wear a mask  I N C O N S I S T E N T  #NoMasks #NoMasks,face masks,AGAINST,0,,,,,,
976406,@replouiegohmert So you are suddenly all about your health choices.. so are women.. #covidiot,face masks,NONE,0,,,,,,
574430262,:notes::arrow_forward:Chairman remix @sirme_saco #grahamd  On #Totorimuzik @Djitchyfingazz #spinning:repeat_one: LISTENLIVEON #OURAPPONPLAYSTORE AND #WEBSITEONBIO,stay at home orders,NONE,0,,,,,,
741697,Every school district should be asking their governors and the mayors and their school boards to give them the facts not opinions on opening the schools did the children. The facts do not back up the hysteria. Children will suffer..,school closures,FAVOR,1,,,,,,
3056492,@BCGovNews Dr. Bonnie Henry’s guide for...  • sensationalism over science &amp, data • economic devastation • picking winners &amp, losers • sm biz bankruptcies • lives destroyed beyond repair • anxiety &amp, depression • suicide • more power to big brother • a fascist dream,stay at home orders,AGAINST,0,,,
2650754,"@dbongino As a teacher, I agree!!! The students are suffering without schools open and data shows there is very very low risk to kids. Teachers can mitigate risk to themselves and others. I need to teach my students where they thrive,  which is AT SCHOOL",school closures,AGAINST,1,,,,,,
3842509,"No one has ever come up with a real plan for what happens when a student, teacher or staff member tests positive or dies from COVID-19. Do you close the school? Do you send the kids in knowing one of them may have contracted it?",school closures,FAVOR,1,,,,,,
2019631,"@CovfefeKatie Katie, This is great if you are gathering info and making a list. If schools don't open parents should pull there kids out of public school and seek a better alternative. #kidsfirst",school closures,FAVOR,0,,,,,,
3326176158,@dr_neerja thank u.. :pray::pray:#keeploving,stay at home orders,NONE,0,,,,,,
208125,@DanCrenshawTX Schools need to reopen. The science shows children who do contract Covid do not become ill like adults and they do not pass it.,school closures,AGAINST,1,,,,,,
1786480,@WBTV_News Wait .. but I thought masks work !?,face masks,AGAINST,1,,,,,,
2617021392,"@SherriTurner00 Going to miss #NovaScotia this summer :disappointed_relieved: due to #Covid, Hubby &amp; I visit every summer :sunny:, stay a month with family members in #ColeHarbour #BelliveausCove #Tusket &amp; do day trips.",stay at home orders,NONE,0,,,,,,
2695710642,@CherokeePhoenix Follow the safe Path.,stay at home orders,NONE,0,,,,,,
2526322,@MtnMD @laurajo82878461 @FreeThinkMind @DrKellyVictory @kksheld @drdavidsamadi People who make kids wear masks while their immune system develops will be responsible for many many illnesses and deaths later. It’s child abuse.,face masks,AGAINST,1,,,,,,
4144895613,#Florida 07-13-2020 New Cases:  12624 New Deaths:  35 0-4:  189 5-14:  448 15-24:  1758 25-34:  2454 35-44:  2200 45-54:  2037 55-64:  1693 65-74:  890 75-84:  462 85+:  270 Estimated 509 hospitalizations and 179 deaths from today's reported #covid19 cases.,face masks,NONE,0,,,,,,
3756151125,Please be advised that the Sandton customer service centre at 137 Daisy Street is closed today due to a COVID-19 positive case.   The centre will reopen tomorrow for customer service. The health of our staff and customer is our number one priority. ^NJ  #StaySafe,face masks,NONE,0,,,,,,
546365,"@PodSaveAmerica The man who slept with #pornstars w/o using a condom is telling physicians what they ""need"" for protection?  Irony anyone?  #PPE #COVID19 #ventilators #pandemic #N95masks #HealthCareWorkers #covid19us",face masks,FAVOR,0,,,,,,
3016150891,The #GreenList is just daft.,stay at home orders,NONE,0,,,,,,
3676599848,two of my international roommates aren’t coming back to school this semester because the united states is a laughing stock when it comes to coronavirus... sooo anyone wanna tell me again how they’re president is handling this situation “well”??,face masks,NONE,0,,,,,,
3856856,"literally everyone at my school is sick. everyome. maybe jot with the corona virus but everyonen is sick, coughng, sneezing, literally everywhere.",school closures,FAVOR,1,,,,,,
2194983868,:notes::arrow_forward:Anita baker @IchabaLAVISH  On #Totorimuzik @Djitchyfingazz #spinning:repeat_one: LISTENLIVEON #OURAPPONPLAYSTORE AND #WEBSITEONBIO,stay at home orders,NONE,0,,,,,,
49553,@77X0X77 @GodLovesUSA1 @MalinaFronda @bakusatsuou03 @OpalaUa @hapa_girl33 @teralynda @SouthrnHawaiian @Dan_Yoh @ManxCat17 @rcurtis808 @DavidWareHawaii @GeneLamkin @mauivwgirl @twinkleblinc @Oahu_808 @lalaviealoha @AlohaJackie1 @DavidRHamman @freedragonfly,face masks,NONE,0,,,,,,
2504579,@drdavidsamadi @Acosta There's a vas deferens between Urology and Infectious Disease specialities. The science is clear that it's not safe to reopen schools. This is genocide and YOU should be ashamed for promoting the WH talking points and not facts.,school closures,FAVOR,1,,,,,,
1960865,@PeterNavarro45 racist #TrumpChump #Cult45. #WhiteHouse  #CNN   #COVID19 #WearAMaskSaveALife,stay at home orders,FAVOR,0,,,,,,
1318393,#r4today Im shopping but its nearly all online.,face masks,NONE,0,,,,,,
2078507656,"And the COO of the board said “The science isn’t clear on masks.”  I came in hot with — Are you kidding me?!? Masks work, science proves it and other countries are better off then the US because of masks.",school closures,NONE,0,,,,,,
1186346,"@JustinAHorwitz @ReallyAmerican1 Science should not stand in the way of opening our schools. But I guarantee you, this virus will shut them down permanently.",school closures,FAVOR,1,,,,,,
1129858050,If the US would’ve had a nationwide lockdown to begin with by now we would’ve gone back to our lives and we wouldn’t have to be worrying about whether kids should go back to school or not.,school closures,NONE,0,,,,,,
375076,@adarsh_lohd @Francis_Joseph @imBhupendrasinh @CMOGuj @vijayrupanibjp Fee reduction can be implemented but to stop schools to collect fees completely is not fair &amp, not just teachers or schools but even parents are against this order.,school closures,AGAINST,1,,,,,
8.65351E+12,@NYGovCuomo I don’t give a damn. But I still wear a mask because I’m selfish bastard.,face masks,FAVOR,1,,,,,,
8.67246E+11,"@kmjensen05 @KathyBoren @KMH_Music @JodieHMoss @GOPLeader They don’t want to know. Or they know and are just lying. Because they’d rather wear a ventilator than a mask.  Or more likely, they just don’t give a rat’s ass if you or I or someone we lo",face masks,FAVOR,1,,,,,,
2980810,@JoeBiden Leave me alone. Contact trace yourself fool. Enough tyranny in the name of safety. #WalkAwayFromDemocrats  #OBAMAGATE  #WalkAwayFromDemocratSocialists,stay at home orders,AGAINST,0,,,,,,
1053433,I don’t know about anyone else but I am getting used to this mask and my nose isn’t cold from the AC anymore. Bring on winter I have a cozy new face warmer. #WearAMask,face masks,FAVOR,1,,,,,,
3255164055,There is a 100% chance that if you are for no school in the fall and you want more testing you are just doing it because you are a Liberal and hate Trump. #StopTheTesting,school closures,NONE,0,,,,,,
3015496486,@RealMattCouch Every 4 min 22 sec.... I counted.,stay at home orders,NONE,0,,,,,,
3428250510,"@thehill Gee, @AOC , maybe we shouldn't be forcing people into that situation, hmmm?",stay at home orders,NONE,0,,,,,,
1945988,@murpharoo @David_Speers How the hell are kids meant to practice social distancing in classes of 40 kids? No hand sanitizer or even hand soap in toilets. #Morrison is making a mockery of #SocialDistancing #morrisonmixedmessages,school closures,FAVOR,1,,,,,,
243804,@SenWarren Democrats need to stop inflating the numbers just to keep this #Plandemic going and scaring Americans!  The Chinese virus has over a 99% survival rate!,stay at home orders,AGAINST,1,,,,,,
3183312,"Spare tie? Never heard of her, I've dedicated this whole week to refreshing the news page waiting for the schools to close down or for Boris Johnson to get the Corona Virus",school closures,FAVOR,0,,,,,,
1265879505,Education is a fundamental right &amp, not a subject of votebank. Parents&amp,schools should stay united &amp, stop getting influencEd by political dramas. Its my choice to select  best for my child.  Every good thing comes with a cost &amp, if I want best I  should pay for it,school closures,NONE,0,,
1691431,"@GimmeObama @tedcruz Fuck you, #TedCruz and shame on @AmericanAir for allowing him to do this. He endangered every life on that plane and in the airport. What a dirtbag!",face masks,FAVOR,0,,,,,,
2155885,"Today our school released their “return to learn” plan. The plan is fine, however recent FB postings of school sanctioned activities with no masks &amp; no social distancing makes me pause. I will make whatever sacrifices are necessary for my children to learn from home",school closures,FAVOR,0,,,,,,
3369103,"Get use to being uncomfortable, so ADAPT to NEW NORMAL! WEAR THE MASK!",face masks,FAVOR,0,,,,,,
1989501288,:notes::arrow_forward:Sponono @DjMaphorisa @wizkidayo @burnaboy @KabzaDeSmall_ On #TRENDVILLA @fomaliciousbabe @Akpos_carrytalk @Djitchyfingazz #spinning:repeat_one: LISTENLIVEON #OURAPPONPLAYSTORE AND #WEBSITEONBIO,stay at home orders,NONE,0,,,,,,
267569,"And we do not know when these physical classrooms will happen. Parents cannot manage with apps at home, and the skilled teachers are preparing to normalise as far as possible. Till now it is ok. What if schools dont open till December? Year gone?",school closures,AGAINST,1,,,,,,
2194007792,"The left scares blacks with #racism, women with #sexism and rape, some people with #ClimateChange or #MassShootings, but FINALLY with a virus threat they found something that works to scare NEARLY EVERYBODY. #covid19 #WuhanFlu #ChineseVirus",face masks,NONE,0,,,,,,
1440148004,"Thinking about returning to work, or being told that #workingfromhome needs to be phased out soon? If so here is @FT guide to the risks you face... some mitigatiion actions for you; some for your employer -",stay at home orders,NONE,0,,,,,,
16376077,"Until we have a unified national strategy, we will never beat COVID. #COVID19 #WearADamnMask",stay at home orders,NONE,0,,,,,,
2431039757,Has anyone in #SouthAfrica got any updates on the closing of schools? Has the @DBE_SA said anything yet?,school closures,NONE,0,,,,,,
4069235527,@realjuliasong But did you touch your face?!  #coronavirus #COVID19,school closures,NONE,0,,,,,,
2594749217,@GovernmentZA Fuckoff you bunch of communists. This isnt North Korea.,stay at home orders,NONE,0,,,,,,
2913282,@PRINCIPALRUBIO @NEISD @TRRoughRiderFB @sachurchill @MrGuthrieTweets @sdbmavs @NEISDExecDir I would like all of you that say that masks make a difference to show me some data proving that fact.,face masks,AGAINST,1,,,,,,
1874999,"All of you maskholes who say masks violate your personal freedoms, how you gonna justify that to your kids in December when they can’t go visit Santa at the mall? Mask up now. #COVID19 #maskup",face masks,FAVOR,1,,,,,,
1888907,"@amymiller Yes. But, in February I found a Chanel lipstick color that is literally to die for. Literaly. Therefore, I will not ware a mask. Perfect color and sheen - so, FU. I would gladly die to wear my lipstick.",face masks,AGAINST,0,,,,,,
1846548,@realDonaldTrump Look at all you assholes not wearing a mask.,face masks,FAVOR,0,,,,,,
1655963,"Dear Entitled White Women - Wear. A. Fucking. Mask. You are an embarrassment to white women who actually give a shit about all humans. No matter their skin color, sexual orientation, religion, or origin.",face masks,FAVOR,1,,,,,,
3591851,"so our school canceled school for a day so we could go support the basketball team, but reinstated it after corona virus concerns??? show me where that makes sense",school closures,FAVOR,1,,,,,,
1527912122,@changbkim @KCC_Indonesia @korembindonesia @mofa_kr @UmarHad73314840 @M_Reiterer Home sweet home :heart_eyes::sunglasses:,stay at home orders,NONE,0,,,,,,
445933,"If a mask mandate could help save lives and violates the law, CHANGE! THE! LAW! NOT having the mandate could actually be helping kill people, do you really want that on your shoulders @GovRicketts? #youcandoit",face masks,FAVOR,1,,,,,,
1862217,Today is the first time I have had to visit my doctors office since COVID began. I’m very impressed at how things are being run but the only way these services will remain accessible is if you wear a mask. So please,face masks,FAVOR,1,,,,,,
4.16073E+12,Anyone else agree that mail in ballots containing a face mask should have been sent out to all Americans? #vote #MailInBallots,face masks,FAVOR,0,,,,,,
3176183,"@MattRooneyNJ DATELINE MONDAY AUG 3, 2020. Today the Official Groundhog of New Jersey, “Punxsutawney Phil” Murphy, popped his head out of the Gov’s Mansion, looked out, sniffed the air and twitched his whiskers, and proclaimed, “Six more weeks of ",stay at home orders,AGAINST,1,,,,,,
1062191,"If we keep waiting for schools to reopen, which doesn’t seem possible in the near future, the  psychological connect and deep-rooted bonding that the children have developed with their teachers and their school will soon be lost.",school closures,AGAINST,1,,,,,,
3620905223,"@realDonaldTrump Daffy Donald admires an alien DNA, demon and reptilian “doctor” as a COVID-19 expert. Not fake news (although it should be!) #TrumpHasNoCredibilty #TrumpVirusDeathToll158K #VoteForOurLives #RepublicansForBiden #BlackLivesMatter",face masks,NONE,0,,,,,,
140307,"Woah, so you’re telling me that my five kids have to go to school while this coronavirus outbreak is happening. It was fair enough with all the strikes.",school closures,FAVOR,0,,,,,,
1646675,@evanmcmurry We can open the schools when we beat the virus- actually do the required close downs and impose 14 days no new cases... the longer we put this off the worse the economic collapse! Ridiculous!,school closures,FAVOR,0,,,,,,
3608633,"@simondolan Nowadays people will film their own mother dying if they thought would get loads of likes &amp; increased followers, where are all vids &amp; live films of people showing us how horrific it is/was whilst having #coronavirus, weight loss pics e",face masks,NONE,0,,,,,,
1217418,"@barnardfox5dc #gooddaydc  if you were worried about covid-19, you would have on a mask and not get in his face smh",face masks,FAVOR,0,,,,,,
1446234,"@realDonaldTrump And so many without masks!  Wtf, people?",face masks,FAVOR,0,,,,,,
3613386,The same people that are running around saying they won’t where a mask because it’s government control are now demanding that you send your children to school #Hypocrisy,school closures,FAVOR,1,,,,,,
4160280777,:notes::arrow_forward:Shomo @Zlatan_Ibile @iam_jamopyper @oberz_official On #Totorimuzik @Djitchyfingazz #spinning:repeat_one: LISTENLIVEON #OURAPPONPLAYSTORE AND #WEBSITEONBIO,stay at home orders,NONE,0,,,,,,
3487713,I just had my oxygen checked at the doctor’s office (with a mask on) and my oxygen was at 99.   So yeah.,face masks,FAVOR,1,,,,,,
737642,The impact of #COVID19 will be disastrous in Africa. Some Parents still allow their kids to do as they will: this is irresponsible. Most of these kids are roaming around without face masks. Government has No Plan:We must be Vigilant &amp, Stay Indoors. #WearAMask,school closures,FAVOR,1,,,,,
1212253857,@OCDeplorable @brianlmaryott @maribarke ⚀Teacher unions in #California are using coronavirus to #extort the government. :x:100 Billion in unfunded pensions. :x:Among the most dismal test scores in the nation - in spite of being among the most highly pai,school closures,NONE,0,,,,,,
336855,"If the US is so Pro-Life and cares about innocent babies, then why the fuck are trump and DeVos so hellbent on sending our kids to their doom at COVID filled schools?",school closures,NONE,1,,,,,,
2636127915,"It doesnt matter who you are,When God says its your time to be blessed,Indeed it is., #CoronavirusPandemic",stay at home orders,NONE,0,,,,,,
3646411,I wonder what the coronation is to folks who buy lottery and don’t wear masks? #WearADamnMask,face masks,FAVOR,0,,,,,,
1398518456,@Acosta Now you know. Don't go next time.,stay at home orders,NONE,0,,,,,,
465799564,:play_button_selector::radio:  we run things @doctor_sonnie   @deejayfoxyone  @sollazo1  #RaypowerNigeria,stay at home orders,NONE,0,,,,,,
2082781,@drdavidsamadi @rail581 But no kids should be forced to wear masks- their lungs are not fully developed &amp, it’s harmful to breathe in mask bacteria all day!!!,face masks,AGAINST,1,,,,,
423135735,:notes::arrow_forward:Temperature @yemialadee   On #Totorimuzik @Djitchyfingazz #spinning:repeat_one: LISTENLIVEON #OURAPPONPLAYSTORE AND #WEBSITEONBIO,stay at home orders,NONE,0,,,,,,
1791679299,@MKBHD @UnboxTherapy There is no stats saying how many people are wearing a facial mask. Me believes TWITTER knew that and tricked us with their : We will give you an edit button when everyone wears a facial mask.,face masks,NONE,0,,,,,,
2249472,@DeanObeidallah @TheDeansreport @CNNOpinion Imagine being such a selfish asshole that you place your desire not to wear a mask as more important than a human life.,face masks,FAVOR,0,,,,,,
1372412,@SenJackyRosen If masks work then why do we need to social distance? If social distancing works why do we need masks? If they both work then why are we quarantined? This is a blatant abuse of power by politicians and elected officials like yourself.,stay at home orders,AGAINST,1,,,,,,
718848,"So if the schools do Online learning for next year, what do the homes without Internet access and working parents supposed to do??? #notmykid",school closures,AGAINST,1,,,,,,
2898119066,:notes::arrow_forward:Bless my way @Evayungofficial @erigganewmoney #reggaedan On #Totorimuzik @Djitchyfingazz #spinning:repeat_one: LISTENLIVEON #OURAPPONPLAYSTORE AND #WEBSITEONBIO,stay at home orders,NONE,0,,,,,,
393444825,Will restricting public gatherings not help ensure that vulnerable people can get access to health care and...NOT DIE?! #coronavirus #covid19 #hse,school closures,NONE,0,,,,,,
2013225,Hubs is in #Phoenix with a load. He said NO ONE is wearing masks. Makes me sad that my home state can’t get their shit together. Makes me even more mad because that’s where we caught #COVID19 back in March.,face masks,FAVOR,1,,,,,,
3279894,Better to be safe than sorry. #OnlineClasses offer continued learning in a safe environment. Let schools function and provide education. It's easy to destroy with such senseless orders.,school closures,FAVOR,1,,,,,,
3681028,"10,000 Floridians will die in 2 months from #coronavirus. All because Ron #DeathSantis and the #GOPDeathCult did not want to wear a mask when they came within 6 feet of people in public spaces. #DesantisFailedFlorida #TrumpFailedAmerica. Now they want to kill my kid?",school closures,FAVOR,1,,,,,,
1203858,But I don’t get it. Why?? Why is everybody behind the pillar of civilisation?  Is the ripple effect not visible? Schools collapsing will result in the entire nation’s collapse!,school closures,AGAINST,1,,,,,,
78447,The objectives of the Victorian government's measures are twofold: - to reduce the number of people moving around - to reduce workplace transmissions These goals need to be kept in mind by all of us or we'll be in lockdown for longer than we need to.,stay at home orders,FAVOR,1,,,,,,
826277,"@TiceRichard @RishiSunak @BorisJohnson That time has come. We are already falling from the cliff edge, but haven’t hit the rocks yet. The greatest act of economic self harm in history.",stay at home orders,AGAINST,0,,,,,,
907212,"Think how devastated you'll feel if you DON'T keep your kid at home and he or she is one of those who die from Covid19. Let that sink in, parents...because it will happen. #keepyourchildhome #WearAMask",school closures,FAVOR,1,,,,,,
1025312,"@realDonaldTrump Who the hell are these fascist local Dems to order, threaten and arrest me for not obey. This is not the American way. Our constitution protects me from fascist Dictators like Gov Wolf. He should have tries asking. #ObamaGate #WalkAway  #",face masks,AGAINST,0,,,,,,
3211542757,:notes::arrow_forward:Ginger me @heisrema On #BREAKETIMESHOW @Archchildify @Djitchyfingazz #spinning:repeat_one: LISTENLIVEON #OURAPPONPLAYSTORE AND #WEBSITEONBIO,stay at home orders,NONE,0,,,,,,
1734079,"Either you win by dismantling the corrupt school system, or you win when the science is all of a sudden on your side and its ok to open schools. What do you think sir?  #homeschool",school closures,FAVOR,1,,,,,,
